DATE,GDPC1
2018-01-01,20044.077
2018-04-01,20150.476
2018-07-01,20276.154
2018-10-01,20304.874
2019-01-01,20415.15
2019-04-01,20584.528
2019-07-01,20817.581
2019-10-01,20951.088
2020-01-01,20665.553
2020-04-01,19034.83
2020-07-01,20511.785
2020-10-01,20724.128
2021-01-01,20990.541
2021-04-01,21309.544
2021-07-01,21483.083
2021-10-01,21847.602
2022-01-01,21738.871
2022-04-01,21708.16
2022-07-01,21851.134
2022-10-01,21989.981
2023-01-01,22112.329
2023-04-01,22225.35
2023-07-01,22490.692
2023-10-01,22679.255
2024-01-01,22768.866
